"t [pixel] #1","x [pixel] #1","t [pixel] #2","x [pixel] #2","t [pixel] #3","x [pixel] #3","t [pixel] #4","x [pixel] #4","t [pixel] #5","x [pixel] #5","t [pixel] #6","x [pixel] #6","t [pixel] #7","x [pixel] #7","t [pixel] #8","x [pixel] #8","t [pixel] #9","x [pixel] #9","t [pixel] #10","x [pixel] #10","t [pixel] #11","x [pixel] #11","t [pixel] #12","x [pixel] #12","t [pixel] #13","x [pixel] #13","t [pixel] #14","x [pixel] #14","t [pixel] #15","x [pixel] #15","t [pixel] #16","x [pixel] #16","t [pixel] #17","x [pixel] #17","t [pixel] #18","x [pixel] #18","t [pixel] #19","x [pixel] #19","t [pixel] #20","x [pixel] #20","t [pixel] #21","x [pixel] #21","t [pixel] #22","x [pixel] #22","t [pixel] #23","x [pixel] #23","t [pixel] #24","x [pixel] #24","t [pixel] #25","x [pixel] #25","t [pixel] #26","x [pixel] #26","t [pixel] #27","x [pixel] #27","t [pixel] #28","x [pixel] #28","t [pixel] #29","x [pixel] #29"
5.4,39.2,5.6000000000000005,2.4000000000000004,5.6000000000000005,43.2,5.6000000000000005,48.,5.6000000000000005,57.6,5.6000000000000005,62.400000000000006,5.6000000000000005,75.2,"","",5.6000000000000005,100.80000000000001,5.6000000000000005,107.2,"","",5.800000000000001,86.4,5.800000000000001,93.60000000000001,6.2,31.200000000000003,6.6000000000000005,80.,7.6000000000000005,66.4,11.8,74.4,"","",17.8,2.4000000000000004,21.400000000000002,87.2,"","",29.,80.80000000000001,"","","","","","",20.6,41.6,26.6,53.6,"","","",""
5.6000000000000005,39.2,5.800000000000001,2.4000000000000004,5.800000000000001,43.2,5.800000000000001,48.,5.800000000000001,58.400000000000006,5.800000000000001,62.400000000000006,5.800000000000001,76.,"","",5.800000000000001,100.80000000000001,5.800000000000001,107.2,"","",6.,86.4,6.,93.60000000000001,6.4,32.,6.800000000000001,80.,7.800000000000001,66.4,12.,74.4,"","",18.,2.4000000000000004,21.6,87.2,"","",29.200000000000003,80.80000000000001,"","","","","","",20.8,40.800000000000004,26.8,53.6,"","","",""
5.800000000000001,39.2,6.,2.4000000000000004,6.,43.2,6.,48.,6.,58.400000000000006,6.,62.400000000000006,6.,76.,"","",6.,100.80000000000001,6.,107.2,"","",6.2,86.4,6.2,93.60000000000001,6.6000000000000005,32.,"","",8.,66.4,12.200000000000001,74.4,"","",18.2,2.4000000000000004,21.8,87.2,"","",29.400000000000002,80.80000000000001,"","","","","","",21.,40.800000000000004,27.,53.6,"","","",""
6.,39.2,6.2,2.4000000000000004,6.2,43.2,6.2,48.,6.2,58.400000000000006,6.2,62.400000000000006,6.2,76.80000000000001,"","",6.2,100.80000000000001,6.2,107.2,"","",6.4,86.4,6.4,93.60000000000001,6.800000000000001,32.,"","",8.200000000000001,66.4,12.4,74.4,"","",18.400000000000002,2.4000000000000004,22.,87.2,"","",29.6,80.80000000000001,"","","","","","",21.200000000000003,40.800000000000004,27.200000000000003,53.6,"","","",""
6.2,39.2,6.4,2.4000000000000004,6.4,43.2,6.4,47.2,6.4,58.400000000000006,6.4,62.400000000000006,6.4,76.80000000000001,"","",6.4,100.80000000000001,6.4,107.2,"","",6.6000000000000005,86.4,6.6000000000000005,93.60000000000001,7.,32.800000000000004,"","",8.4,66.4,12.600000000000001,74.4,"","",18.6,2.4000000000000004,22.200000000000003,87.2,"","",29.8,80.80000000000001,"","","","","","",21.400000000000002,40.800000000000004,27.400000000000002,53.6,"","","",""
6.4,39.2,6.6000000000000005,2.4000000000000004,6.6000000000000005,43.2,6.6000000000000005,47.2,6.6000000000000005,58.400000000000006,6.6000000000000005,62.400000000000006,6.6000000000000005,76.80000000000001,"","",6.6000000000000005,100.80000000000001,6.6000000000000005,107.2,"","",6.800000000000001,86.4,6.800000000000001,93.60000000000001,7.2,32.800000000000004,"","",8.6,66.4,12.8,74.4,"","",18.8,2.4000000000000004,22.400000000000002,87.2,"","",30.,80.80000000000001,"","","","","","",21.6,40.800000000000004,27.6,53.6,"","","",""
6.6000000000000005,39.2,6.800000000000001,2.4000000000000004,6.800000000000001,43.2,6.800000000000001,47.2,6.800000000000001,58.400000000000006,6.800000000000001,62.400000000000006,6.800000000000001,76.80000000000001,"","",6.800000000000001,100.80000000000001,6.800000000000001,107.2,"","",7.,86.4,7.,93.60000000000001,7.4,32.800000000000004,"","",8.8,66.4,13.,74.4,"","",19.,2.4000000000000004,22.6,87.2,"","",30.200000000000003,80.80000000000001,"","","","","","",21.8,40.800000000000004,27.8,53.6,"","","",""
6.800000000000001,39.2,7.,2.4000000000000004,7.,43.2,7.,47.2,7.,58.400000000000006,7.,62.400000000000006,7.,76.80000000000001,"","",7.,100.80000000000001,7.,107.2,"","",7.2,86.4,7.2,93.60000000000001,7.6000000000000005,32.800000000000004,"","",9.,66.4,13.200000000000001,74.4,"","",19.200000000000003,2.4000000000000004,22.8,87.2,"","",30.400000000000002,80.80000000000001,"","","","","","",22.,40.800000000000004,28.,53.6,"","","",""
7.,39.2,7.2,2.4000000000000004,7.2,43.2,7.2,47.2,7.2,58.400000000000006,7.2,62.400000000000006,7.2,77.60000000000001,"","",7.2,100.80000000000001,7.2,107.2,"","",7.4,86.4,7.4,93.60000000000001,7.800000000000001,32.800000000000004,"","",9.200000000000001,66.4,13.4,74.4,"","",19.400000000000002,2.4000000000000004,23.,87.2,"","",30.6,80.80000000000001,"","","","","","",22.200000000000003,40.800000000000004,28.200000000000003,53.6,"","","",""
7.2,39.2,7.4,2.4000000000000004,7.4,43.2,7.4,47.2,7.4,58.400000000000006,7.4,62.400000000000006,7.4,77.60000000000001,"","",7.4,100.80000000000001,7.4,107.2,"","",7.6000000000000005,86.4,7.6000000000000005,93.60000000000001,8.,32.800000000000004,"","",9.4,66.4,13.600000000000001,74.4,"","",19.6,2.4000000000000004,23.200000000000003,86.4,"","",30.8,80.80000000000001,"","","","","","",22.400000000000002,40.800000000000004,28.400000000000002,53.6,"","","",""
