"t [pixel] #1","x [pixel] #1","t [pixel] #2","x [pixel] #2","t [pixel] #3","x [pixel] #3","t [pixel] #4","x [pixel] #4","t [pixel] #5","x [pixel] #5","t [pixel] #6","x [pixel] #6","t [pixel] #7","x [pixel] #7","t [pixel] #8","x [pixel] #8","t [pixel] #9","x [pixel] #9","t [pixel] #10","x [pixel] #10","t [pixel] #11","x [pixel] #11","t [pixel] #12","x [pixel] #12","t [pixel] #13","x [pixel] #13","t [pixel] #14","x [pixel] #14","t [pixel] #15","x [pixel] #15"
"","",8.200000000000001,122.4,8.4,101.60000000000001,"","","","",9.200000000000001,0.8,"","",11.600000000000001,147.20000000000002,11.8,46.400000000000006,"","","","","","",32.4,64.8,"","",11.8,117.60000000000001
"","",8.4,122.4,8.6,101.60000000000001,"","","","",9.4,0.8,"","",11.8,147.20000000000002,12.,46.400000000000006,"","","","","","",32.6,64.8,"","",12.,117.60000000000001
"","",8.6,122.4,8.8,101.60000000000001,"","","","",9.600000000000001,0.8,"","",12.,147.20000000000002,12.200000000000001,46.400000000000006,"","","","","","",32.800000000000004,64.8,"","",12.200000000000001,117.60000000000001
"","",8.8,122.4,9.,101.60000000000001,"","","","",9.8,0.8,"","",12.200000000000001,147.20000000000002,12.4,46.400000000000006,"","","","","","",33.,64.8,"","",12.4,117.60000000000001
"","",9.,123.2,9.200000000000001,101.60000000000001,"","","","",10.,0.8,"","",12.4,147.20000000000002,12.600000000000001,46.400000000000006,"","","","","","",33.2,64.8,"","",12.600000000000001,117.60000000000001
"","",9.200000000000001,123.2,9.4,101.60000000000001,"","","","",10.200000000000001,0.8,"","",12.600000000000001,147.20000000000002,12.8,46.400000000000006,"","","","","","",33.4,64.8,"","",12.8,117.60000000000001
"","",9.4,123.2,9.600000000000001,101.60000000000001,"","","","",10.4,0.8,"","",12.8,147.20000000000002,13.,46.400000000000006,"","","","","","",33.6,64.8,"","",13.,117.60000000000001
"","",9.600000000000001,124.,9.8,101.60000000000001,"","","","",10.600000000000001,0.8,"","",13.,147.20000000000002,13.200000000000001,46.400000000000006,"","","","","","",33.800000000000004,64.8,"","",13.200000000000001,117.60000000000001
"","",9.8,124.,10.,101.60000000000001,"","","","",10.8,0.8,"","",13.200000000000001,147.20000000000002,13.4,46.400000000000006,"","","","","","",34.,64.8,"","",13.4,117.60000000000001
"","",10.,124.,10.200000000000001,101.60000000000001,"","","","",11.,0.8,"","",13.4,147.20000000000002,13.600000000000001,46.400000000000006,"","","","","","",34.2,64.8,"","",13.600000000000001,117.60000000000001
