"t [pixel] #1","x [pixel] #1","t [pixel] #2","x [pixel] #2","t [pixel] #3","x [pixel] #3","t [pixel] #4","x [pixel] #4","t [pixel] #5","x [pixel] #5","t [pixel] #6","x [pixel] #6","t [pixel] #7","x [pixel] #7","t [pixel] #8","x [pixel] #8","t [pixel] #9","x [pixel] #9","t [pixel] #10","x [pixel] #10","t [pixel] #11","x [pixel] #11","t [pixel] #12","x [pixel] #12","t [pixel] #13","x [pixel] #13","t [pixel] #14","x [pixel] #14","t [pixel] #15","x [pixel] #15","t [pixel] #16","x [pixel] #16","t [pixel] #17","x [pixel] #17","t [pixel] #18","x [pixel] #18","t [pixel] #19","x [pixel] #19","t [pixel] #20","x [pixel] #20","t [pixel] #21","x [pixel] #21","t [pixel] #22","x [pixel] #22","t [pixel] #23","x [pixel] #23","t [pixel] #24","x [pixel] #24","t [pixel] #25","x [pixel] #25","t [pixel] #26","x [pixel] #26","t [pixel] #27","x [pixel] #27","t [pixel] #28","x [pixel] #28","t [pixel] #29","x [pixel] #29","t [pixel] #30","x [pixel] #30","t [pixel] #31","x [pixel] #31","t [pixel] #32","x [pixel] #32","t [pixel] #33","x [pixel] #33","t [pixel] #34","x [pixel] #34","t [pixel] #35","x [pixel] #35","t [pixel] #36","x [pixel] #36"
23.,26.400000000000002,"","",23.,101.60000000000001,23.,54.400000000000006,"","",23.,158.4,"","",23.,169.60000000000002,23.,200.,23.200000000000003,60.800000000000004,23.200000000000003,178.4,23.200000000000003,181.60000000000002,23.400000000000002,113.60000000000001,"","",24.6,7.2,"","","","",24.6,39.2,"","",31.400000000000002,15.200000000000001,"","","","",28.,58.400000000000006,"","","","","","","","","","","","","","","","","","","","",26.,96.,"","","",""
23.200000000000003,26.400000000000002,"","",23.200000000000003,102.4,23.200000000000003,54.400000000000006,"","",23.200000000000003,158.4,"","",23.200000000000003,169.60000000000002,23.200000000000003,200.,23.400000000000002,60.800000000000004,23.400000000000002,178.4,23.400000000000002,181.60000000000002,23.6,113.60000000000001,"","",24.8,8.,"","","","",24.8,39.2,"","",31.6,15.200000000000001,"","","","",28.200000000000003,58.400000000000006,"","","","","","","","","","","","","","","","","","","","",26.200000000000003,96.,"","","",""
23.400000000000002,26.400000000000002,"","",23.400000000000002,102.4,23.400000000000002,54.400000000000006,"","",23.400000000000002,158.4,"","",23.400000000000002,169.60000000000002,23.400000000000002,200.,23.6,60.800000000000004,23.6,178.4,23.6,181.60000000000002,23.8,113.60000000000001,"","",25.,8.,"","","","",25.,39.2,"","",31.8,15.200000000000001,"","","","",28.400000000000002,58.400000000000006,"","","","","","","","","","","","","","","","","","","","",26.400000000000002,96.,"","","",""
23.6,26.400000000000002,"","",23.6,103.2,23.6,55.2,"","",23.6,158.4,"","",23.6,169.60000000000002,23.6,200.,23.8,60.800000000000004,23.8,178.4,23.8,181.60000000000002,24.,113.60000000000001,"","",25.200000000000003,8.,"","","","",25.200000000000003,39.2,"","",32.,15.200000000000001,"","","","",28.6,58.400000000000006,"","","","","","","","","","","","","","","","","","","","",26.6,96.,"","","",""
23.8,26.400000000000002,"","",23.8,104.,23.8,55.2,"","",23.8,158.4,"","",23.8,169.60000000000002,23.8,200.,24.,60.800000000000004,24.,178.4,24.,181.60000000000002,24.200000000000003,113.60000000000001,"","",25.400000000000002,8.,"","","","",25.400000000000002,39.2,"","",32.2,15.200000000000001,"","","","",28.8,58.400000000000006,"","","","","","","","","","","","","","","","","","","","",26.8,96.,"","","",""
24.,26.400000000000002,"","",24.,105.60000000000001,24.,55.2,"","",24.,158.4,"","",24.,169.60000000000002,24.,200.,24.200000000000003,60.800000000000004,"","",24.200000000000003,181.60000000000002,24.400000000000002,113.60000000000001,"","",25.6,8.,"","","","",25.6,39.2,"","",32.4,15.200000000000001,"","","","",29.,58.400000000000006,"","","","","","","","","","","","","","","","","","","","",27.,96.,"","","",""
24.200000000000003,26.400000000000002,"","",24.200000000000003,106.4,24.200000000000003,54.400000000000006,"","",24.200000000000003,158.4,"","",24.200000000000003,169.60000000000002,24.200000000000003,200.,24.400000000000002,60.800000000000004,"","",24.400000000000002,181.60000000000002,24.6,113.60000000000001,"","",25.8,8.,"","","","",25.8,39.2,"","",32.6,15.200000000000001,"","","","",29.200000000000003,58.400000000000006,"","","","","","","","","","","","","","","","","","","","",27.200000000000003,96.,"","","",""
24.400000000000002,26.400000000000002,"","",24.400000000000002,107.2,"","","","",24.400000000000002,158.4,"","",24.400000000000002,169.60000000000002,24.400000000000002,200.,24.6,60.800000000000004,"","",24.6,181.60000000000002,24.8,113.60000000000001,"","",26.,8.8,"","","","",26.,39.2,"","",32.800000000000004,15.200000000000001,"","","","",29.400000000000002,58.400000000000006,"","","","","","","","","","","","","","","","","","","","",27.400000000000002,96.,"","","",""
24.6,26.400000000000002,"","",24.6,107.2,"","","","",24.6,159.20000000000002,"","",24.6,169.60000000000002,24.6,200.,24.8,60.800000000000004,"","",24.8,181.60000000000002,25.,113.60000000000001,"","",26.200000000000003,8.8,"","","","",26.200000000000003,39.2,"","",33.,15.200000000000001,"","","","",29.6,59.2,"","","","","","","","","","","","","","","","","","","","",27.6,96.,"","","",""
24.8,26.400000000000002,"","",24.8,108.,"","","","",24.8,159.20000000000002,"","",24.8,169.60000000000002,24.8,200.,25.,60.800000000000004,"","",25.,181.60000000000002,25.200000000000003,113.60000000000001,"","",26.400000000000002,8.8,"","","","",26.400000000000002,39.2,"","",33.2,15.200000000000001,"","","","",29.8,59.2,"","","","","","","","","","","","","","","","","","","","",27.8,96.,"","","",""
