"t [pixel] #1","x [pixel] #1","t [pixel] #2","x [pixel] #2","t [pixel] #3","x [pixel] #3","t [pixel] #4","x [pixel] #4","t [pixel] #5","x [pixel] #5","t [pixel] #6","x [pixel] #6","t [pixel] #7","x [pixel] #7","t [pixel] #8","x [pixel] #8","t [pixel] #9","x [pixel] #9","t [pixel] #10","x [pixel] #10","t [pixel] #11","x [pixel] #11","t [pixel] #12","x [pixel] #12","t [pixel] #13","x [pixel] #13","t [pixel] #14","x [pixel] #14","t [pixel] #15","x [pixel] #15","t [pixel] #16","x [pixel] #16","t [pixel] #17","x [pixel] #17","t [pixel] #18","x [pixel] #18","t [pixel] #19","x [pixel] #19","t [pixel] #20","x [pixel] #20"
6.4,64.,6.4,75.2,6.4,100.80000000000001,6.4,152.,"","","","",6.6000000000000005,71.2,6.6000000000000005,94.4,6.800000000000001,116.80000000000001,"","","","","","",16.,112.,18.6,40.,29.,112.,"","",35.,65.60000000000001,"","","","","",""
6.6000000000000005,64.,6.6000000000000005,75.2,6.6000000000000005,100.80000000000001,6.6000000000000005,152.,"","","","",6.800000000000001,71.2,6.800000000000001,94.4,7.,116.,"","","","","","",16.2,112.,18.8,40.,29.200000000000003,112.,"","",35.2,66.4,"","","","","",""
6.800000000000001,64.,6.800000000000001,75.2,6.800000000000001,100.80000000000001,6.800000000000001,152.,"","","","",7.,71.2,7.,94.4,7.2,116.,"","","","","","",16.400000000000002,112.80000000000001,19.,40.,29.400000000000002,112.,"","",35.4,66.4,"","","","","",""
7.,64.,7.,75.2,7.,100.80000000000001,7.,152.,"","","","",7.2,71.2,7.2,94.4,7.4,116.,"","","","","","",16.6,112.80000000000001,19.200000000000003,40.,29.6,112.,"","",35.6,66.4,"","","","","",""
7.2,64.,7.2,75.2,7.2,100.80000000000001,7.2,152.,"","","","",7.4,71.2,7.4,94.4,7.6000000000000005,116.,"","","","","","","","",19.400000000000002,40.,29.8,112.,"","",35.800000000000004,66.4,"","","","","",""
7.4,64.,7.4,75.2,7.4,100.80000000000001,7.4,152.8,"","","","",7.6000000000000005,71.2,7.6000000000000005,94.4,7.800000000000001,116.,"","","","","","","","",19.6,40.,30.,112.,"","",36.,66.4,"","","","","",""
7.6000000000000005,64.,7.6000000000000005,75.2,7.6000000000000005,100.80000000000001,7.6000000000000005,152.8,"","","","",7.800000000000001,70.4,7.800000000000001,94.4,8.,116.,"","","","","","","","",19.8,40.,30.200000000000003,112.,"","",36.2,66.4,"","","","","",""
7.800000000000001,64.,7.800000000000001,75.2,7.800000000000001,100.80000000000001,7.800000000000001,152.8,"","","","",8.,70.4,8.,94.4,8.200000000000001,116.,"","","","","","","","",20.,40.,30.400000000000002,112.80000000000001,"","",36.4,66.4,"","","","","",""
8.,64.,8.,75.2,8.,100.80000000000001,8.,152.,"","","","",8.200000000000001,70.4,8.200000000000001,94.4,8.4,116.80000000000001,"","","","","","","","",20.200000000000003,40.,30.6,112.80000000000001,"","",36.6,66.4,"","","","","",""
8.200000000000001,64.,8.200000000000001,75.2,8.200000000000001,100.80000000000001,8.200000000000001,152.,"","","","",8.4,70.4,8.4,94.4,8.6,116.80000000000001,"","","","","","","","",20.400000000000002,40.,30.8,112.80000000000001,"","",36.800000000000004,66.4,"","","","","",""
8.4,64.,8.4,75.2,8.4,100.80000000000001,8.4,152.,"","","","",8.6,70.4,8.6,94.4,8.8,116.80000000000001,"","","","","","","","",20.6,40.,31.,112.80000000000001,"","",37.,66.4,"","","","","",""
8.6,64.,8.6,75.2,8.6,100.80000000000001,8.6,152.8,"","","","",8.8,70.4,8.8,94.4,9.,116.80000000000001,"","","","","","","","",20.8,40.,31.200000000000003,112.80000000000001,"","",37.2,66.4,"","","","","",""
8.8,64.,8.8,75.2,8.8,100.80000000000001,8.8,152.8,"","","","",9.,70.4,9.,94.4,9.200000000000001,116.80000000000001,"","","","","","","","",21.,40.,31.400000000000002,112.,"","",37.4,65.60000000000001,"","","","","",""
9.,64.,9.,75.2,9.,100.80000000000001,9.,152.,"","","","",9.200000000000001,70.4,9.200000000000001,94.4,9.4,116.80000000000001,"","","","","","","","",21.200000000000003,40.,31.6,112.,"","",37.6,65.60000000000001,"","","","","",""
9.200000000000001,64.,9.200000000000001,75.2,9.200000000000001,100.80000000000001,9.200000000000001,152.,"","","","",9.4,70.4,9.4,94.4,9.600000000000001,116.80000000000001,"","","","","","","","",21.400000000000002,40.,31.8,112.,"","",37.800000000000004,65.60000000000001,"","","","","",""
9.4,64.,9.4,75.2,9.4,100.80000000000001,9.4,152.,"","","","",9.600000000000001,70.4,9.600000000000001,94.4,9.8,116.80000000000001,"","","","","","","","",21.6,40.,32.,112.,"","",38.,65.60000000000001,"","","","","",""
9.600000000000001,64.,9.600000000000001,75.2,9.600000000000001,100.80000000000001,9.600000000000001,152.,"","","","",9.8,70.4,9.8,94.4,10.,116.80000000000001,"","","","","","","","",21.8,40.,32.2,112.,"","",38.2,66.4,"","","","","",""
9.8,64.,9.8,75.2,9.8,100.80000000000001,9.8,152.,"","","","",10.,71.2,10.,94.4,10.200000000000001,116.80000000000001,"","","","","","","","",22.,40.,32.4,112.,"","",38.400000000000006,66.4,"","","","","",""
10.,64.,10.,75.2,10.,100.80000000000001,10.,152.,"","","","",10.200000000000001,71.2,10.200000000000001,94.4,10.4,116.80000000000001,"","","","","","","","",22.200000000000003,40.,32.6,112.,"","",38.6,66.4,"","","","","",""
10.200000000000001,64.,10.200000000000001,75.2,10.200000000000001,100.80000000000001,10.200000000000001,152.,"","","","",10.4,71.2,10.4,94.4,10.600000000000001,116.80000000000001,"","","","","","","","",22.400000000000002,40.,32.800000000000004,112.,"","",38.800000000000004,66.4,"","","","","",""
10.4,64.8,10.4,75.2,10.4,100.80000000000001,10.4,152.,"","","","",10.600000000000001,71.2,10.600000000000001,94.4,10.8,116.80000000000001,"","","","","","","","",22.6,40.,33.,112.,"","",39.,66.4,"","","","","",""
10.600000000000001,64.8,10.600000000000001,75.2,10.600000000000001,100.80000000000001,10.600000000000001,152.,"","","","",10.8,71.2,10.8,94.4,11.,116.80000000000001,"","","","","","","","",22.8,40.,33.2,112.,"","",39.2,66.4,"","","","","",""
10.8,64.8,10.8,75.2,10.8,100.80000000000001,10.8,152.,"","","","",11.,71.2,11.,94.4,11.200000000000001,116.80000000000001,"","","","","","","","",23.,40.,33.4,112.,"","",39.400000000000006,66.4,"","","","","",""
11.,64.8,11.,76.,11.,100.80000000000001,11.,152.,"","","","",11.200000000000001,71.2,11.200000000000001,94.4,11.4,116.80000000000001,"","","","","","","","",23.200000000000003,40.,33.6,112.,"","","","","","","","","",""
11.200000000000001,64.,11.200000000000001,76.,11.200000000000001,100.80000000000001,11.200000000000001,152.,"","","","",11.4,71.2,11.4,94.4,11.600000000000001,116.80000000000001,"","","","","","","","",23.400000000000002,40.,33.800000000000004,112.,"","","","","","","","","",""
11.4,64.,11.4,76.,11.4,100.80000000000001,11.4,152.,"","","","",11.600000000000001,71.2,11.600000000000001,94.4,11.8,116.80000000000001,"","","","","","","","",23.6,40.,34.,112.,"","","","","","","","","",""
11.600000000000001,64.,11.600000000000001,76.,11.600000000000001,100.80000000000001,11.600000000000001,152.,"","","","",11.8,71.2,11.8,94.4,12.,116.80000000000001,"","","","","","","","",23.8,40.,34.2,112.,"","","","","","","","","",""
11.8,64.,11.8,76.,11.8,100.80000000000001,11.8,152.8,"","","","",12.,71.2,12.,94.4,12.200000000000001,116.80000000000001,"","","","","","","","",24.,40.,34.4,112.,"","","","","","","","","",""
12.,64.,12.,76.,12.,100.80000000000001,12.,152.8,"","","","",12.200000000000001,71.2,12.200000000000001,94.4,12.4,116.80000000000001,"","","","","","","","",24.200000000000003,40.,34.6,112.,"","","","","","","","","",""
12.200000000000001,64.,12.200000000000001,76.,12.200000000000001,100.80000000000001,12.200000000000001,152.,"","","","",12.4,71.2,12.4,94.4,12.600000000000001,116.80000000000001,"","","","","","","","",24.400000000000002,40.,34.800000000000004,112.,"","","","","","","","","",""
12.4,64.,12.4,76.,12.4,100.80000000000001,12.4,152.,"","","","",12.600000000000001,71.2,12.600000000000001,94.4,12.8,116.80000000000001,"","","","","","","","",24.6,40.,35.,112.,"","","","","","","","","",""
12.600000000000001,64.,12.600000000000001,76.,12.600000000000001,100.80000000000001,12.600000000000001,152.,"","","","",12.8,71.2,12.8,94.4,"","","","","","","","","","",24.8,40.,35.2,112.,"","","","","","","","","",""
12.8,64.,12.8,76.,12.8,100.80000000000001,12.8,152.,"","","","",13.,71.2,13.,94.4,"","","","","","","","","","",25.,40.,35.4,112.,"","","","","","","","","",""
13.,64.,13.,76.,13.,100.80000000000001,13.,152.8,"","","","",13.200000000000001,71.2,13.200000000000001,94.4,"","","","","","","","","","",25.200000000000003,40.,35.6,112.,"","","","","","","","","",""
13.200000000000001,64.,13.200000000000001,76.,13.200000000000001,100.80000000000001,13.200000000000001,152.8,"","","","",13.4,71.2,13.4,94.4,"","","","","","","","","","",25.400000000000002,40.,35.800000000000004,112.,"","","","","","","","","",""
13.4,64.,13.4,76.,13.4,100.80000000000001,13.4,152.8,"","","","",13.600000000000001,71.2,13.600000000000001,94.4,"","","","","","","","","","",25.6,40.,36.,112.,"","","","","","","","","",""
13.600000000000001,64.,13.600000000000001,76.,13.600000000000001,100.80000000000001,13.600000000000001,152.8,"","","","",13.8,70.4,13.8,94.4,"","","","","","","","","","",25.8,40.,36.2,112.,"","","","","","","","","",""
13.8,64.,13.8,76.,13.8,100.80000000000001,13.8,152.8,"","","","",14.,70.4,14.,94.4,"","","","","","","","","","",26.,40.,36.4,112.,"","","","","","","","","",""
14.,64.,14.,76.,14.,100.80000000000001,14.,152.8,"","","","",14.200000000000001,70.4,14.200000000000001,94.4,"","","","","","","","","","",26.200000000000003,40.,36.6,112.,"","","","","","","","","",""
14.200000000000001,64.,14.200000000000001,76.,14.200000000000001,100.80000000000001,14.200000000000001,152.8,"","","","",14.4,70.4,14.4,94.4,"","","","","","","","","","",26.400000000000002,39.2,36.800000000000004,112.,"","","","","","","","","",""
14.4,64.8,14.4,76.,14.4,100.80000000000001,14.4,152.8,"","","","",14.600000000000001,70.4,14.600000000000001,94.4,"","","","","","","","","","",26.6,39.2,37.,112.,"","","","","","","","","",""
14.600000000000001,64.8,14.600000000000001,76.,14.600000000000001,100.80000000000001,14.600000000000001,152.8,"","","","",14.8,70.4,14.8,94.4,"","","","","","","","","","",26.8,39.2,37.2,112.,"","","","","","","","","",""
14.8,64.8,14.8,76.,14.8,100.80000000000001,14.8,152.8,"","","","",15.,70.4,15.,94.4,"","","","","","","","","","",27.,39.2,37.4,112.,"","","","","","","","","",""
15.,64.8,15.,75.2,15.,100.80000000000001,15.,152.8,"","","","",15.200000000000001,70.4,15.200000000000001,94.4,"","","","","","","","","","",27.200000000000003,39.2,37.6,112.,"","","","","","","","","",""
15.200000000000001,64.8,15.200000000000001,75.2,15.200000000000001,100.80000000000001,15.200000000000001,152.8,"","","","",15.4,70.4,15.4,94.4,"","","","","","","","","","",27.400000000000002,39.2,37.800000000000004,112.,"","","","","","","","","",""
15.4,64.8,15.4,75.2,15.4,100.80000000000001,15.4,152.8,"","","","",15.600000000000001,70.4,15.600000000000001,94.4,"","","","","","","","","","",27.6,39.2,38.,112.,"","","","","","","","","",""
15.600000000000001,64.8,15.600000000000001,75.2,15.600000000000001,100.80000000000001,15.600000000000001,152.8,"","","","",15.8,70.4,15.8,94.4,"","","","","","","","","","",27.8,39.2,38.2,112.,"","","","","","","","","",""
15.8,64.8,15.8,75.2,15.8,100.80000000000001,15.8,152.8,"","","","",16.,70.4,16.,94.4,"","","","","","","","","","",28.,39.2,38.400000000000006,112.,"","","","","","","","","",""
16.,64.8,16.,75.2,16.,101.60000000000001,16.,152.8,"","","","",16.2,70.4,16.2,94.4,"","","","","","","","","","",28.200000000000003,39.2,38.6,112.,"","","","","","","","","",""
16.2,64.8,16.2,75.2,16.2,101.60000000000001,16.2,152.8,"","","","",16.400000000000002,70.4,16.400000000000002,94.4,"","","","","","","","","","",28.400000000000002,39.2,38.800000000000004,112.,"","","","","","","","","",""
16.400000000000002,64.8,16.400000000000002,75.2,16.400000000000002,101.60000000000001,16.400000000000002,152.8,"","","","","","",16.6,94.4,"","","","","","","","","","",28.6,39.2,39.,112.,"","","","","","","","","",""
16.6,64.8,16.6,75.2,16.6,101.60000000000001,16.6,152.8,"","","","","","",16.8,94.4,"","","","","","","","","","","","",39.2,112.,"","","","","","","","","",""
16.8,64.8,16.8,75.2,16.8,101.60000000000001,16.8,152.8,"","","","","","",17.,94.4,"","","","","","","","","","","","",39.400000000000006,112.,"","","","","","","","","",""
17.,64.8,17.,75.2,17.,101.60000000000001,17.,152.8,"","","","","","",17.2,94.4,"","","","","","","","","","","","",39.6,112.,"","","","","","","","","",""
17.2,64.8,17.2,75.2,17.2,101.60000000000001,17.2,152.8,"","","","","","",17.400000000000002,93.60000000000001,"","","","","","","","","","","","",39.800000000000004,112.,"","","","","","","","","",""
17.400000000000002,64.8,17.400000000000002,75.2,17.400000000000002,101.60000000000001,17.400000000000002,152.8,"","","","","","",17.6,93.60000000000001,"","","","","","","","","","","","",40.,112.,"","","","","","","","","",""
17.6,64.8,17.6,75.2,17.6,101.60000000000001,17.6,152.8,"","","","","","",17.8,94.4,"","","","","","","","","","","","","","","","","","","","","","","",""
17.8,64.8,17.8,75.2,17.8,101.60000000000001,17.8,152.8,"","","","","","",18.,94.4,"","","","","","","","","","","","","","","","","","","","","","","",""
18.,64.8,18.,75.2,18.,101.60000000000001,18.,152.8,"","","","","","",18.2,94.4,"","","","","","","","","","","","","","","","","","","","","","","",""
18.2,64.,18.2,75.2,18.2,101.60000000000001,18.2,152.8,"","","","","","",18.400000000000002,94.4,"","","","","","","","","","","","","","","","","","","","","","","",""
18.400000000000002,64.,18.400000000000002,75.2,18.400000000000002,101.60000000000001,18.400000000000002,152.8,"","","","","","",18.6,94.4,"","","","","","","","","","","","","","","","","","","","","","","",""
18.6,64.,18.6,75.2,18.6,101.60000000000001,18.6,152.8,"","","","","","",18.8,94.4,"","","","","","","","","","","","","","","","","","","","","","","",""
18.8,64.,18.8,75.2,18.8,101.60000000000001,18.8,152.8,"","","","","","",19.,94.4,"","","","","","","","","","","","","","","","","","","","","","","",""
19.,64.,19.,75.2,19.,101.60000000000001,19.,152.8,"","","","","","",19.200000000000003,94.4,"","","","","","","","","","","","","","","","","","","","","","","",""
19.200000000000003,64.8,19.200000000000003,75.2,19.200000000000003,101.60000000000001,19.200000000000003,152.8,"","","","","","",19.400000000000002,94.4,"","","","","","","","","","","","","","","","","","","","","","","",""
19.400000000000002,64.8,19.400000000000002,75.2,19.400000000000002,101.60000000000001,19.400000000000002,152.8,"","","","","","",19.6,94.4,"","","","","","","","","","","","","","","","","","","","","","","",""
19.6,64.,19.6,75.2,19.6,101.60000000000001,19.6,152.8,"","","","","","",19.8,94.4,"","","","","","","","","","","","","","","","","","","","","","","",""
19.8,64.,19.8,75.2,19.8,101.60000000000001,19.8,152.8,"","","","","","",20.,94.4,"","","","","","","","","","","","","","","","","","","","","","","",""
20.,64.8,20.,75.2,20.,102.4,20.,152.8,"","","","","","",20.200000000000003,94.4,"","","","","","","","","","","","","","","","","","","","","","","",""
20.200000000000003,64.8,20.200000000000003,75.2,20.200000000000003,101.60000000000001,20.200000000000003,152.8,"","","","","","",20.400000000000002,94.4,"","","","","","","","","","","","","","","","","","","","","","","",""
20.400000000000002,64.8,20.400000000000002,75.2,20.400000000000002,101.60000000000001,20.400000000000002,152.8,"","","","","","",20.6,94.4,"","","","","","","","","","","","","","","","","","","","","","","",""
20.6,64.8,20.6,75.2,20.6,101.60000000000001,20.6,152.8,"","","","","","",20.8,94.4,"","","","","","","","","","","","","","","","","","","","","","","",""
20.8,64.,20.8,75.2,20.8,101.60000000000001,20.8,152.8,"","","","","","",21.,94.4,"","","","","","","","","","","","","","","","","","","","","","","",""
21.,64.,21.,75.2,21.,101.60000000000001,21.,152.8,"","","","","","",21.200000000000003,94.4,"","","","","","","","","","","","","","","","","","","","","","","",""
21.200000000000003,64.,21.200000000000003,75.2,21.200000000000003,101.60000000000001,21.200000000000003,152.8,"","","","","","",21.400000000000002,94.4,"","","","","","","","","","","","","","","","","","","","","","","",""
21.400000000000002,64.,21.400000000000002,75.2,21.400000000000002,101.60000000000001,21.400000000000002,152.8,"","","","","","",21.6,94.4,"","","","","","","","","","","","","","","","","","","","","","","",""
21.6,64.8,21.6,75.2,21.6,101.60000000000001,21.6,152.8,"","","","","","",21.8,94.4,"","","","","","","","","","","","","","","","","","","","","","","",""
21.8,64.,21.8,75.2,21.8,101.60000000000001,21.8,152.8,"","","","","","",22.,94.4,"","","","","","","","","","","","","","","","","","","","","","","",""
22.,63.2,22.,75.2,22.,101.60000000000001,22.,152.8,"","","","","","",22.200000000000003,94.4,"","","","","","","","","","","","","","","","","","","","","","","",""
22.200000000000003,63.2,22.200000000000003,75.2,22.200000000000003,101.60000000000001,22.200000000000003,152.8,"","","","","","",22.400000000000002,94.4,"","","","","","","","","","","","","","","","","","","","","","","",""
22.400000000000002,63.2,22.400000000000002,75.2,22.400000000000002,101.60000000000001,22.400000000000002,152.8,"","","","","","",22.6,94.4,"","","","","","","","","","","","","","","","","","","","","","","",""
22.6,63.2,22.6,75.2,22.6,101.60000000000001,22.6,152.8,"","","","","","",22.8,94.4,"","","","","","","","","","","","","","","","","","","","","","","",""
22.8,63.2,22.8,75.2,22.8,101.60000000000001,22.8,152.8,"","","","","","",23.,94.4,"","","","","","","","","","","","","","","","","","","","","","","",""
23.,63.2,23.,75.2,23.,101.60000000000001,23.,152.8,"","","","","","",23.200000000000003,94.4,"","","","","","","","","","","","","","","","","","","","","","","",""
23.200000000000003,63.2,23.200000000000003,75.2,23.200000000000003,101.60000000000001,23.200000000000003,152.8,"","","","","","",23.400000000000002,94.4,"","","","","","","","","","","","","","","","","","","","","","","",""
23.400000000000002,63.2,23.400000000000002,75.2,23.400000000000002,101.60000000000001,23.400000000000002,152.8,"","","","","","",23.6,94.4,"","","","","","","","","","","","","","","","","","","","","","","",""
23.6,63.2,23.6,75.2,23.6,101.60000000000001,23.6,152.8,"","","","","","",23.8,94.4,"","","","","","","","","","","","","","","","","","","","","","","",""
23.8,63.2,23.8,75.2,23.8,101.60000000000001,23.8,152.8,"","","","","","",24.,94.4,"","","","","","","","","","","","","","","","","","","","","","","",""
24.,63.2,24.,75.2,24.,101.60000000000001,24.,152.8,"","","","","","",24.200000000000003,94.4,"","","","","","","","","","","","","","","","","","","","","","","",""
24.200000000000003,63.2,24.200000000000003,75.2,24.200000000000003,101.60000000000001,24.200000000000003,152.8,"","","","","","",24.400000000000002,94.4,"","","","","","","","","","","","","","","","","","","","","","","",""
24.400000000000002,63.2,24.400000000000002,75.2,24.400000000000002,102.4,24.400000000000002,152.8,"","","","","","",24.6,94.4,"","","","","","","","","","","","","","","","","","","","","","","",""
24.6,63.2,24.6,75.2,24.6,101.60000000000001,24.6,152.8,"","","","","","",24.8,94.4,"","","","","","","","","","","","","","","","","","","","","","","",""
24.8,63.2,24.8,75.2,24.8,101.60000000000001,24.8,152.8,"","","","","","",25.,94.4,"","","","","","","","","","","","","","","","","","","","","","","",""
25.,63.2,25.,75.2,25.,101.60000000000001,25.,152.8,"","","","","","",25.200000000000003,93.60000000000001,"","","","","","","","","","","","","","","","","","","","","","","",""
25.200000000000003,63.2,25.200000000000003,75.2,25.200000000000003,101.60000000000001,25.200000000000003,152.8,"","","","","","",25.400000000000002,93.60000000000001,"","","","","","","","","","","","","","","","","","","","","","","",""
25.400000000000002,63.2,25.400000000000002,75.2,25.400000000000002,101.60000000000001,25.400000000000002,152.8,"","","","","","",25.6,93.60000000000001,"","","","","","","","","","","","","","","","","","","","","","","",""
25.6,63.2,25.6,75.2,25.6,102.4,25.6,152.8,"","","","","","",25.8,93.60000000000001,"","","","","","","","","","","","","","","","","","","","","","","",""
25.8,63.2,25.8,75.2,25.8,102.4,25.8,152.8,"","","","","","",26.,93.60000000000001,"","","","","","","","","","","","","","","","","","","","","","","",""
26.,63.2,26.,76.,26.,101.60000000000001,26.,152.8,"","","","","","",26.200000000000003,93.60000000000001,"","","","","","","","","","","","","","","","","","","","","","","",""
26.200000000000003,63.2,26.200000000000003,76.,26.200000000000003,101.60000000000001,26.200000000000003,152.8,"","","","","","",26.400000000000002,93.60000000000001,"","","","","","","","","","","","","","","","","","","","","","","",""
26.400000000000002,63.2,26.400000000000002,76.,26.400000000000002,101.60000000000001,26.400000000000002,152.8,"","","","","","",26.6,93.60000000000001,"","","","","","","","","","","","","","","","","","","","","","","",""
26.6,63.2,26.6,76.,26.6,100.80000000000001,26.6,152.8,"","","","","","",26.8,93.60000000000001,"","","","","","","","","","","","","","","","","","","","","","","",""
26.8,63.2,26.8,76.,26.8,100.80000000000001,26.8,152.8,"","","","","","",27.,93.60000000000001,"","","","","","","","","","","","","","","","","","","","","","","",""
27.,63.2,27.,76.,27.,100.80000000000001,27.,152.8,"","","","","","",27.200000000000003,93.60000000000001,"","","","","","","","","","","","","","","","","","","","","","","",""
27.200000000000003,63.2,27.200000000000003,76.,27.200000000000003,100.80000000000001,27.200000000000003,152.8,"","","","","","",27.400000000000002,93.60000000000001,"","","","","","","","","","","","","","","","","","","","","","","",""
27.400000000000002,63.2,27.400000000000002,76.,27.400000000000002,100.80000000000001,27.400000000000002,152.8,"","","","","","",27.6,93.60000000000001,"","","","","","","","","","","","","","","","","","","","","","","",""
27.6,63.2,27.6,76.,27.6,100.80000000000001,27.6,152.8,"","","","","","",27.8,93.60000000000001,"","","","","","","","","","","","","","","","","","","","","","","",""
27.8,63.2,27.8,75.2,27.8,100.80000000000001,27.8,152.8,"","","","","","",28.,93.60000000000001,"","","","","","","","","","","","","","","","","","","","","","","",""
28.,63.2,28.,75.2,28.,100.80000000000001,28.,152.8,"","","","","","",28.200000000000003,93.60000000000001,"","","","","","","","","","","","","","","","","","","","","","","",""
28.200000000000003,63.2,28.200000000000003,75.2,28.200000000000003,100.80000000000001,28.200000000000003,152.8,"","","","","","",28.400000000000002,93.60000000000001,"","","","","","","","","","","","","","","","","","","","","","","",""
28.400000000000002,63.2,28.400000000000002,75.2,28.400000000000002,100.80000000000001,28.400000000000002,152.8,"","","","","","",28.6,93.60000000000001,"","","","","","","","","","","","","","","","","","","","","","","",""
28.6,63.2,28.6,75.2,28.6,100.80000000000001,28.6,152.8,"","","","","","",28.8,93.60000000000001,"","","","","","","","","","","","","","","","","","","","","","","",""
28.8,63.2,28.8,75.2,28.8,100.80000000000001,28.8,152.8,"","","","","","",29.,93.60000000000001,"","","","","","","","","","","","","","","","","","","","","","","",""
